epoch,accuracy,loss,val_accuracy,val_loss
0,0.034615930169820786,5.788249969482422,0.006399999838322401,6.251458168029785
1,0.13207440078258514,4.682894229888916,0.02239999920129776,5.7151408195495605
2,0.24120403826236725,3.865771532058716,0.09679999947547913,4.8665452003479
3,0.3344029486179352,3.293236017227173,0.4936000108718872,2.587876319885254
4,0.4116995632648468,2.878481388092041,0.5655999779701233,2.214778423309326
5,0.4770410358905792,2.5475685596466064,0.5120000243186951,2.480346918106079
6,0.530540943145752,2.272484540939331,0.6287999749183655,1.8495337963104248
7,0.5736759901046753,2.057279348373413,0.7080000042915344,1.4956234693527222
8,0.6123526692390442,1.8676512241363525,0.6984000205993652,1.5951530933380127
9,0.6458895206451416,1.7202026844024658,0.753600001335144,1.2946573495864868
10,0.6733778119087219,1.5785185098648071,0.704800009727478,1.4925129413604736
11,0.6968053579330444,1.4691938161849976,0.7847999930381775,1.201780915260315
12,0.7237256765365601,1.3542553186416626,0.8144000172615051,1.020552158355713
13,0.7480618953704834,1.2485170364379883,0.7879999876022339,1.0976321697235107
14,0.7622888088226318,1.1806538105010986,0.800000011920929,1.036405324935913
15,0.7822802662849426,1.0947985649108887,0.8199999928474426,0.9735932350158691
16,0.7982394099235535,1.0255165100097656,0.8447999954223633,0.87980055809021
17,0.8151355981826782,0.949623167514801,0.8568000197410583,0.8261904120445251
18,0.8238818645477295,0.9088315367698669,0.8528000116348267,0.8624527454376221
19,0.8345307111740112,0.8664546608924866,0.8312000036239624,0.9192008972167969
20,0.8497231006622314,0.8009477257728577,0.8575999736785889,0.7956056594848633
21,0.8616214394569397,0.7548184990882874,0.8464000225067139,0.8847726583480835
22,0.8663921356201172,0.7356076240539551,0.8672000169754028,0.8337695598602295
23,0.8767002820968628,0.6979029178619385,0.8392000198364258,0.8610901236534119
24,0.8819537162780762,0.6665786504745483,0.876800000667572,0.7737536430358887
25,0.88592928647995,0.656821608543396,0.8712000250816345,0.8037368655204773
26,0.8974300622940063,0.6130244135856628,0.8823999762535095,0.7493346333503723
27,0.8993042707443237,0.6049758791923523,0.8600000143051147,0.8077372908592224
28,0.9035922288894653,0.586279034614563,0.8632000088691711,0.7675350904464722
29,0.9086185097694397,0.5684306025505066,0.8399999737739563,0.9117856621742249
30,0.9150930047035217,0.5463712215423584,0.8791999816894531,0.7475628852844238
31,0.9176203608512878,0.5320572853088379,0.8744000196456909,0.777333676815033
32,0.9189833998680115,0.5275908708572388,0.8751999735832214,0.7939490675926208
33,0.9224762320518494,0.5177739858627319,0.8799999952316284,0.7762395739555359
34,0.9225046038627625,0.5116628408432007,0.8863999843597412,0.7359225749969482
35,0.9272469282150269,0.4980727732181549,0.8808000087738037,0.736099898815155
36,0.9296038746833801,0.4878636598587036,0.8823999762535095,0.7444683909416199
37,0.9275592565536499,0.4949653148651123,0.8679999709129333,0.791969895362854
38,0.930370569229126,0.4835740029811859,0.8823999762535095,0.7436450719833374
39,0.9355388283729553,0.46653521060943604,0.8664000034332275,0.780236005783081
40,0.9341757893562317,0.4675067365169525,0.8863999843597412,0.7519742846488953
41,0.9385204911231995,0.4571622610092163,0.8744000196456909,0.786413311958313
42,0.9367883205413818,0.46057605743408203,0.8863999843597412,0.7458601593971252
43,0.9382933378219604,0.4545517861843109,0.8831999897956848,0.7721657156944275
44,0.9409342408180237,0.4466773271560669,0.8840000033378601,0.7830960750579834
45,0.9411046504974365,0.4408348798751831,0.8920000195503235,0.7205532789230347
46,0.942922055721283,0.4324105978012085,0.8256000280380249,1.0706993341445923
47,0.942723274230957,0.43538421392440796,0.8952000141143799,0.6891700625419617
48,0.9444838762283325,0.43073999881744385,0.864799976348877,0.8494980335235596
49,0.9453358054161072,0.42598748207092285,0.8960000276565552,0.7058373093605042
